[2026-03-12 20:36:42,082: INFO: main: Welcome to our custom log]
[2026-03-21 01:11:14,740: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-21 01:13:41,945: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-21 01:24:14,155: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:02:33,728: INFO: common: yaml file: Kidney_diseases_detecion\config\config.yaml loaded successfully]
[2026-03-22 09:04:15,421: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:05:59,672: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:06:28,411: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:08:46,357: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:08:46,399: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-22 09:08:46,403: INFO: common: created directory at: artifacts]
[2026-03-22 09:10:36,921: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:10:36,929: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-22 09:10:36,930: INFO: common: created directory at: artifacts]
[2026-03-22 09:10:36,932: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-22 09:10:36,935: INFO: 3957702817: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-22 09:15:18,079: INFO: 3957702817: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-22 09:37:55,717: INFO: main: Welcome to our custom log]
[2026-03-22 09:37:55,718: INFO: main: >>>>>>>>>stage Data Ingestion stage started <<<<<<<<]
[2026-03-22 09:37:55,724: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:37:55,731: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-22 09:37:55,733: INFO: common: created directory at: artifacts]
[2026-03-22 09:37:55,734: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-22 09:39:09,641: INFO: main: Welcome to our custom log]
[2026-03-22 09:39:09,641: INFO: main: >>>>>>>>>stage Data Ingestion stage started <<<<<<<<]
[2026-03-22 09:39:09,645: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:39:09,647: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-22 09:39:09,649: INFO: common: created directory at: artifacts]
[2026-03-22 09:39:09,649: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-22 09:45:41,006: INFO: main: Welcome to our custom log]
[2026-03-22 09:45:41,008: INFO: main: >>>>>>>>>stage Data Ingestion stage started <<<<<<<<]
[2026-03-22 09:45:41,012: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-22 09:45:41,014: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-22 09:45:41,014: INFO: common: created directory at: artifacts]
[2026-03-22 09:45:41,015: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-22 09:45:41,049: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-22 09:47:50,947: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-22 09:47:52,529: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<<<<

X==============X]
